message number,latency (usec),message size,interval (usec),
266,2443,4,100000,
267,3128,4,100000,
268,2871.5,4,100000,
269,2524,4,100000,
270,2294,4,100000,
271,2970,4,100000,
272,2741,4,100000,
273,2413,4,100000,
274,3285,4,100000,
275,2875,4,100000,
276,2584.5,4,100000,
277,2311.5,4,100000,
278,3110,4,100000,
279,2716,4,100000,
280,2570.5,4,100000,
281,3101,4,100000,
282,2886.5,4,100000,
283,2712.5,4,100000,
284,2323,4,100000,
285,2081.5,4,100000,
286,2947,4,100000,
287,2634.5,4,100000,
288,2151,4,100000,
289,2878,4,100000,
290,2778,4,100000,
291,2465.5,4,100000,
292,2043,4,100000,
293,2749.5,4,100000,
294,2491,4,100000,
295,2234,4,100000,
296,2031.5,4,100000,
297,2727,4,100000,
298,2467.5,4,100000,
299,2249,4,100000,
300,1988.5,4,100000,
301,2688.5,4,100000,
302,2469.5,4,100000,
303,2196.5,4,100000,
304,2962.5,4,100000,
305,2625,4,100000,
306,2556,4,100000,
307,2087.5,4,100000,
308,2983,4,100000,
309,2528.5,4,100000,
310,2236.5,4,100000,
311,2977,4,100000,
312,2668,4,100000,
313,31878,4,100000,
314,2124.5,4,100000,
315,2857,4,100000,
316,2749.5,4,100000,
317,2277,4,100000,
318,1983,4,100000,
319,2714.5,4,100000,
320,3432.5,4,100000,
321,2177.5,4,100000,
322,2996.5,4,100000,
323,2564.5,4,100000,
324,2455.5,4,100000,
325,2034,4,100000,
326,2897.5,4,100000,
327,2424.5,4,100000,
328,2188.5,4,100000,
329,3344.5,4,100000,
330,2574.5,4,100000,
331,2323,4,100000,
332,2999.5,4,100000,
333,2836.5,4,100000,
334,2405,4,100000,
335,2173.5,4,100000,
336,2853,4,100000,
337,2754.5,4,100000,
338,2327,4,100000,
339,3013,4,100000,
340,2784.5,4,100000,
341,2491,4,100000,
342,2202,4,100000,
343,2877,4,100000,
344,2642.5,4,100000,
345,2354.5,4,100000,
346,2083,4,100000,
347,2808,4,100000,
348,2512,4,100000,
349,2230,4,100000,
350,2951.5,4,100000,
351,2649.5,4,100000,
352,2375.5,4,100000,
353,2086.5,4,100000,
354,2796.5,4,100000,
355,2528,4,100000,
356,2250,4,100000,
357,3017,4,100000,
358,2679.5,4,100000,
359,2392.5,4,100000,
360,2104.5,4,100000,
361,2826,4,100000,
362,2538.5,4,100000,
363,2253,4,100000,
364,2979.5,4,100000,
365,2702.5,4,100000,
366,3409.5,4,100000,
367,2146,4,100000,
368,2832,4,100000,
369,2548.5,4,100000,
370,2299,4,100000,
371,2977.5,4,100000,
372,2700,4,100000,
373,2417.5,4,100000,
374,2521.5,4,100000,
375,2863.5,4,100000,
376,2626.5,4,100000,
377,2340,4,100000,
378,2047.5,4,100000,
379,2725.5,4,100000,
380,2490.5,4,100000,
381,2204,4,100000,
382,2862,4,100000,
383,2624,4,100000,
384,2329.5,4,100000,
385,2234.5,4,100000,
386,2767.5,4,100000,
387,2478,4,100000,
388,2188.5,4,100000,
389,1903.5,4,100000,
390,2782,4,100000,
391,2329.5,4,100000,
392,2046.5,4,100000,
393,2771,4,100000,
394,2485,4,100000,
395,2202,4,100000,
396,2944,4,100000,
397,2647,4,100000,
398,2355,4,100000,
399,3083,4,100000,
400,2798.5,4,100000,
401,2509,4,100000,
